Otu,S1,HF,HFHF,LP
Roseburia OTU17,0.0035225897211425415,0.007667527987629734,0.00011824188776522382,0.01793829175485234
Clostridium_XVIII OTU34,0.0030080530949049013,0.01111469360469236,0.0015302382212241082,0.0017250822660730388
Bacteroidales OTU25,0.007683354230903748,0.013509190532351866,0.00045823301964757507,0.002730644654833717
Bacteroidales OTU22,0.03019422924458546,0.013655382995633437,0.0007347102036385252,0.0014301896869079772
Akkermansia OTU2,0.8540000085805175,0.8489170643491997,0.9896036625765008,0.8715356991002514
Clostridium_XlVa OTU7,0.010874700116745649,0.009695413145783007,0.0006273722328491839,0.033413641955130274
F. rodentium OTU10,0.005465584771803496,0.007481440215218972,0.0015331389741484035,0.014085497664898463
Cellulosilyticum OTU38,0.03945280284540958,0.009476671964945324,0.0006849926059227454,0.019897575161796004
Lacrimispora OTU26,0.0026245272754624005,0.016903382321487595,0.00010110126740007267,0.0018259427181118388
E. coprostanoligenes OTU6,0.01245610840899629,0.015014763356825873,0.0011541666084185164,0.03608941257358278
M. gordoncarteri OTU20,0.004980814176008755,0.013443957334849887,0.0002803232298915397,0.020200186967817196
Romboutsia OTU29,0.01809719111008661,0.04165121751928447,0.0001291970519829382,0.015328331562659203
