,Time,Subject,Assemblage,Value,log10Value
0,1,H11,A1,0.0066123748678946865,-2.1796425334364624
1,1,H11,A2,0.02293106690887362,-1.639575738472975
2,1,H11,A3,0.011456833557924255,-1.9409353961852007
3,1,H11,A4,0.0138886128985323,-1.857341126515417
4,1,H11,A5,0.011709022847469896,-1.9314793465722873
5,1,H11,A6,0.039611053094267844,-1.4021836113460269
6,1,H11,A7,0.0530380144380033,-1.2754127428001079
7,1,H11,A8,0.017354396892245858,-1.7605904745261822
8,1,H11,A9,0.010140690707135946,-1.9939324631405855
9,1,H11,A10,0.04533605776540935,-1.3435562470053783
10,1,H11,A11,0.04056961662881076,-1.3917990962340192
11,1,H11,A12,0.006513590979506261,-2.1861795164067916
12,1,H11,A13,0.021145370894111695,-1.674784692836617
13,1,H11,A14,0.021276926051825285,-1.6720911158112537
14,1,H11,A15,0.04562729764729738,-1.3407752522797372
15,1,H11,A16,0.024735017388127743,-1.606687780001022
16,1,H11,A17,0.09036713621765376,-1.0439894805230994
17,1,H11,A18,0.021350345659069715,-1.6705950894159411
18,1,H11,A19,0.06513329596817494,-1.1861969444794889
19,1,H11,A20,0.005316297830664553,-2.274390696918365
20,1,H11,A21,0.005487846393021755,-2.260598053204485
21,1,H11,A22,0.015347362236119808,-1.8139662563260004
22,1,H11,A23,0.012437506975373254,-1.9052666626791617
23,1,H11,A24,0.006541049412102438,-2.1843525701277238
24,1,H11,A25,0.026705993050709368,-1.5733912683436058
25,1,H11,A26,0.022987586083821954,-1.6385066314065533
26,1,H11,A27,0.011513526703231037,-1.938791627442972
27,1,H11,A28,0.006619824778172187,-2.1791535058594005
28,1,H11,A29,0.007798214911017567,-2.1080048002607654
29,1,H11,A30,0.04147161355987191,-1.3822490669625802
30,1,H11,A31,0.0665067199356854,-1.1771344707338776
31,1,H11,A32,0.02901367939915508,-1.5373971922099825
32,1,H11,A33,0.011280597836710513,-1.9476678834817234
33,1,H11,A34,0.05000602772831917,-1.3009776426366675
34,1,H11,A35,0.06104986942186952,-1.2143152606203629
35,1,H11,A36,0.017783618971239777,-1.7499798553282266
36,1,H11,A37,0.0058484219685196875,-2.2329613002108752
37,1,H11,A38,0.011440938044339419,-1.9415383662091614
38,1,H11,A39,0.009947606592671946,-2.0022813985136962
39,1,H11,A40,0.006098988419980742,-2.214742191227188
40,2,H11,A1,0.018135146116372198,-1.7414789409228897
41,2,H11,A2,0.0495578919891268,-1.3048871751967146
42,2,H11,A3,0.032806250235065816,-1.4840434067759447
43,2,H11,A4,0.049679109973832965,-1.303826193365203
44,2,H11,A5,0.01211962140793912,-1.9165109464247643
45,2,H11,A6,0.021741935567930342,-1.6627017956198695
46,2,H11,A7,0.04104937188699841,-1.3866934838087936
47,2,H11,A8,0.10831826257705689,-0.9652983146785801
48,2,H11,A9,0.026639654356054962,-1.574471414345275
49,2,H11,A10,0.012831936483737082,-1.8917077987505886
50,2,H11,A11,0.028133115392178297,-1.5507821724663164
51,2,H11,A12,0.05728686195611954,-1.2419449667618567
52,2,H11,A13,0.025160659215413033,-1.59927798445627
53,2,H11,A14,0.011745568636804819,-1.9301259529307753
54,2,H11,A15,0.04202465471811592,-1.3764958461129526
55,2,H11,A16,0.01295300551922992,-1.887629449422783
56,2,H11,A17,0.026377584725618363,-1.5787649733218023
57,2,H11,A18,0.01059196609375067,-1.97502341813479
