,Time,Subject,Assemblage,Value,log10Value
0,1,H11,A1,0.04269463883899152,-1.369626655860692
1,1,H11,A2,0.13759683721512556,-0.8613915486281585
2,1,H11,A3,0.03922812300920486,-1.406402471535177
3,1,H11,A4,0.12205801693350077,-0.9134336902686117
4,1,H11,A5,0.048507225126028064,-1.3141935686417736
5,1,H11,A6,0.02138729540631175,-1.6698441319492574
6,1,H11,A7,0.1022962364628911,-0.9901403439365716
7,1,H11,A8,0.017682892058044672,-1.752446704134371
8,1,H11,A9,0.042373863754794,-1.3729019341372761
9,1,H11,A10,0.030790264636278153,-1.5115865784049731
10,1,H11,A11,0.00985310987662524,-2.0064266741628796
11,1,H11,A12,0.02657060828153044,-1.5755985031626156
12,1,H11,A13,0.03071356760337949,-1.5126697341765538
13,1,H11,A14,0.008299985919613392,-2.0809226443756605
14,1,H11,A15,0.004989061003550887,-2.3019811857093346
15,1,H11,A16,0.006852170626167208,-2.164171831188099
16,1,H11,A17,0.0075022607976570725,-2.1248078427426567
17,1,H11,A18,0.004204256397322752,-2.376310806310073
18,1,H11,A19,0.0030479043475934303,-2.5159986665857814
19,1,H11,A20,0.014201509966980667,-1.8476654770631313
20,1,H11,A21,0.0032364936743397264,-2.4899252374648477
21,1,H11,A22,0.032095942186191675,-1.493549870945336
22,1,H11,A23,0.023838152176700534,-1.6227274121266295
23,1,H11,A24,0.03513429068215192,-1.4542688099063816
24,1,H11,A25,0.007737141610821709,-2.1114194542945746
25,1,H11,A26,0.015860684999730437,-1.7996780600714524
26,1,H11,A27,0.020384626212529837,-1.6906972476812394
27,1,H11,A28,0.010881417790893464,-1.9633145146887545
28,1,H11,A29,0.0025596262024482714,-2.5918234526831108
29,1,H11,A30,0.006013101891847328,-2.2209014369840157
30,1,H11,A31,0.005418195551377721,-2.2661453246347665
31,1,H11,A32,0.0022085852091840935,-2.6558858406145145
32,1,H11,A33,0.0034734144089743494,-2.45924339843584
33,1,H11,A34,0.003449869702453725,-2.462197307411932
34,1,H11,A35,0.0028391456592362376,-2.5468123259032405
35,1,H11,A36,0.001973032244713977,-2.704865817136597
36,1,H11,A37,0.007988629485480488,-2.097527721054791
37,1,H11,A38,0.021741623025387527,-1.6627080386922444
38,1,H11,A39,0.03623727327212691,-1.440844488904203
39,1,H11,A40,0.001501552338624606,-2.8234595252833796
40,1,H11,A41,0.013191874792799353,-1.8796934793355196
41,1,H11,A42,0.02138551102951169,-1.6698803673550175
42,2,H11,A1,0.09637417817115784,-1.0160393123625484
43,2,H11,A2,0.10963586262613535,-0.9600473619736791
44,2,H11,A3,0.06063772965595126,-1.2172570675400958
45,2,H11,A4,0.11513974810391664,-0.9387747250042016
46,2,H11,A5,0.02352432840503752,-1.628482766376781
47,2,H11,A6,0.05909507887065411,-1.2284486833878718
48,2,H11,A7,0.06213905232772231,-1.2066353743829308
