seqid,mouse,chow,day,timepoint,empty_tube_weight_mg,pellet_tube_weight_mg
PRT02-722,JX02,standard,35,AM,1009.06,1022.32
PRT02-723,JX03,standard,35,AM,1010.06,1029.29
PRT02-724,JX04,standard,35,AM,1008.57,1036.89
PRT02-725,JX05,standard,35,AM,1012.74,1030.17
PRT02-726,JX06,standard,35,AM,1017.52,1043.39
PRT02-727,JX07,standard,35,AM,1018.21,1044.63
PRT02-728,JX08,standard,35,AM,1017.94,1043.92
PRT02-729,JX09,standard,35,AM,1019.81,1041.08
PRT02-730,JX10,standard,35,AM,1008.78,1029.5
PRT02-884,JX02,pectin,43,AM,1005.18,1014.08
PRT02-885,JX03,pectin,43,AM,1006.33,1045.8
PRT02-886,JX04,pectin,43,AM,1006.16,1018.93
PRT02-887,JX05,pectin,43,AM,1005.97,1029.61
PRT02-888,JX06,pectin,43,AM,1009.65,1026.63
PRT02-889,JX07,pectin,43,AM,1004.51,1030.37
PRT02-890,JX08,pectin,43,AM,1011.49,1048.15
PRT02-891,JX09,pectin,43,AM,1010.39,1028.6
PRT02-892,JX10,pectin,43,AM,1006.26,1028.94
PRT02-1118,JX02,standard,57,AM,1009.17,1065.43
PRT02-1119,JX03,standard,57,AM,1017.91,1047.72
PRT02-1120,JX04,standard,57,AM,1009.57,1038.27
PRT02-1121,JX05,standard,57,AM,1008.58,1051.33
PRT02-1122,JX06,standard,57,AM,1018.56,1040.57
PRT02-1123,JX07,standard,57,AM,1012.45,1054.25
PRT02-1124,JX08,standard,57,AM,1012.09,1040.16
PRT02-1125,JX09,standard,57,AM,1007.75,1028.18
PRT02-1126,JX10,standard,57,AM,1016.73,1044.94
PRT02-259,JX07,HFD,10,AM,950.4,976.7
PRT02-260,JX08,HFD,10,AM,951.4,972
PRT02-261,JX09,HFD,10,AM,938.9,968.6
PRT02-262,JX10,HFD,10,AM,996.2,1016.8
PRT02-439,JX07,HFD,18,AM,972.12,1003.42
PRT02-440,JX08,HFD,18,AM,951.73,972.05
PRT02-441,JX09,HFD,18,AM,973.8,996.33
PRT02-442,JX10,HFD,18,AM,975.43,994.63
PRT02-1303,JX07,LP,65,AM,981.3,1013.71
PRT02-1304,JX08,LP,65,AM,976.81,1001.45
PRT02-1305,JX09,LP,65,AM,988.16,1014.54
PRT02-1306,JX10,LP,65,AM,969.68,990.39
PRT02-1537,JX07,standard,76,AM,1013.97,1055.39
PRT02-1538,JX08,standard,76,AM,1010.67,1044.23
PRT02-1539,JX09,standard,76,AM,1024.57,1048.73
PRT02-1540,JX10,standard,76,AM,1005.53,1049.36
