Otu,Domain,Phylum,Class,Order,Family,Genus,Species,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20,A21,A22,A23,A24,A25,A26,A27,A28,A29,A30,A31,A32,A33,A34,A35,A36,A37,A38,A39,A40,A41,A42,A43,A44,A45,A46,A47,A48,A49,A50,A51,A52,A53,A54,A55,A56,A57,A58,A59,A60,A61,A62,A63
Otu48,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae_1,Clostridium_sensu_stricto,na,0.0012026106,1.5005844e-10,0.00042161692,0.00062063226,4.780671e-10,7.5863094e-10,1.3368656e-09,5.299935e-10,4.541881e-10,4.5362344e-10,3.563284e-10,0.0026230114,5.8883365e-10,6.2938577e-10,4.4024132e-10,3.1611683e-10,0.00023114997,4.0251083e-10,0.0012969152,3.4405268e-10,0.0016843082,6.1497124e-10,2.7385627e-10,0.0019557367,5.7773705e-05,7.433746e-10,3.4384173e-10,6.640453e-10,4.4010867e-10,2.1576388e-10,3.4273276e-10,1.4085129e-09,5.023874e-10,2.618831e-10,0.00028129813,0.00026183372,7.2639245e-10,4.852585e-10,0.0010668674,7.8205104e-10,0.0025037436,4.82892e-10,5.7579557e-05,1.0461432e-09,9.911917e-10,1.1203571e-08,0.7417718,1.353161e-10,0.0077519254,0.00080350705,0.0023765692,8.7057367e-10,1.097348e-09,0.0024566364,0.0052341535,1.5518635e-10,4.5279908e-10,6.0125055e-10,6.0996896e-10,0.013197367,5.926431e-10,1.2204701e-09,7.359027e-10
Otu23,Bacteria,Firmicutes,Clostridia,Clostridiales,na,na,na,5.6770405e-10,3.5212938e-10,1.6432054e-10,0.0020617312,3.548051e-08,3.653292e-06,1.2141647e-09,0.0010864713,4.5519155e-10,0.0015287115,3.1377692e-10,1.5605578e-09,0.8962718,1.0861834e-09,4.3521275e-10,2.9155503e-10,2.7026714e-10,4.2665357e-10,1.7990426e-09,4.4192058e-07,3.477546e-10,1.189832e-06,0.00585828,0.0015160652,6.6817224e-10,7.60938e-06,0.0039227805,0.003205174,0.0063114795,1.1187966e-09,3.4273276e-10,1.2628062e-06,5.3752214e-10,2.380233e-10,5.3970484e-10,6.665949e-10,4.7615185e-06,4.689984e-10,7.9270395e-09,1.5747567e-09,0.0001575533,0.010351136,3.430604e-07,3.818756e-10,1.026754e-09,3.883957e-10,7.428204e-10,1.0156154e-09,0.001897027,3.2850118e-09,5.293103e-09,4.020449e-06,1.5554334e-09,0.0032915538,0.0027925284,3.975001e-07,4.5730326e-06,6.048058e-10,6.0996896e-10,8.59074e-10,6.9056905e-10,0.00037198962,0.0042968374
Otu27,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,na,na,0.004212387,2.40043e-10,1.980799e-10,0.00037267638,4.0907454e-07,1.1739243e-09,0.0028978472,4.6792156e-06,4.5548076e-10,0.0036155158,0.0005654835,6.314711e-09,7.0404166e-10,4.4955983e-10,4.358373e-07,0.001806019,0.00011952238,5.2990756e-10,2.7379745e-09,0.006643407,3.477546e-10,1.5835915e-09,3.4354173e-07,1.8321403e-09,3.1901044e-09,0.0004866252,3.4384173e-10,6.3674405e-10,0.0007333565,2.1549695e-10,3.4294462e-10,3.630199e-08,5.3442767e-10,0.00035108163,0.025984054,4.924659e-10,2.9963874e-09,0.8598692,0.001036778,0.006538219,0.0020460936,9.125396e-10,4.886974e-07,2.951459e-09,1.4991475e-09,9.176809e-10,8.600103e-10,2.0550017e-10,0.0019606592,0.0009424071,0.046361882,1.1058106e-09,1.9216455e-09,0.00660566,8.5654417e-10,0.0006323003,4.71533e-10,0.00092740345,9.120446e-10,1.0498146e-09,0.0018536029,0.0006037751,8.3634e-10
Otu32,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,na,na,6.627746e-10,4.9032868e-05,6.721448e-07,0.0010256682,0.002482441,0.8537727,0.015203165,0.0026737642,4.977503e-10,0.0003480272,9.673498e-09,4.2935114e-10,1.9786337e-07,0.0020893493,1.0522066e-07,6.9944156e-10,3.507819e-10,0.0010770313,0.015902463,6.1480077e-10,0.0025138382,7.166071e-10,0.0068269325,0.0004354256,4.169019e-10,0.004624377,0.00086684927,0.00091700297,9.053535e-10,0.0025653874,3.7102377e-10,0.009818332,2.0358921e-07,0.005912492,0.0016377522,0.005840738,0.0040977257,5.065465e-10,0.0011684416,0.016637608,0.0045949602,4.939382e-10,0.0026031062,0.0011904658,0.01646729,0.0022205333,8.9482205e-10,0.008732872,3.701874e-10,7.292062e-10,0.004350878,0.012876061,0.089883015,1.9889084e-09,6.313894e-10,0.0028703462,0.0006529147,0.0031096376,5.529309e-10,0.019459514,0.0034285758,0.01565332,0.00834739
Otu15,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Eisenbergiella,na,0.0361407,1.5621864e-10,3.47716e-10,0.0056431936,0.0692818,0.0024918113,0.0011024722,3.044822e-09,4.9916116e-10,3.1449297e-09,0.00014767692,0.0016878654,6.485441e-10,0.010730968,0.0036739632,1.0022731e-08,2.569632e-10,9.651663e-10,6.089519e-09,0.00071134005,0.005476373,0.013859209,0.001691537,0.0005814146,9.548313e-05,0.0020851362,0.00029587583,0.004336807,0.00020579362,0.024093257,0.0030719135,0.015324293,0.0057052374,0.0002069131,0.0008177721,0.003415661,9.922473e-10,1.2014983e-07,0.0066550076,0.00011461446,0.0018408188,0.0034619265,0.9122596,0.0003773788,0.001825916,0.0016301671,0.01060791,0.018108055,0.0011158972,0.022317506,0.0058593065,0.0026962832,0.011382818,0.0008832318,0.011516905,0.0102055445,6.336064e-10,0.0011445949,6.136494e-10,0.021044154,0.00054953,0.025772171,0.00063256227
Otu19,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Faecalicatena,na,9.30443e-10,1.4946772e-10,2.0891301e-10,0.0016309636,0.0032926728,0.00039080117,0.0020491555,5.0876054e-09,5.383052e-10,0.0014896727,3.718809e-10,8.795179e-09,0.00024183695,0.015608137,7.119484e-10,0.00033891562,1.6867675e-06,0.005921517,0.007244945,0.0013616001,0.004975018,1.404058e-05,1.6924768e-06,0.0015576099,7.5850853e-10,0.015887415,3.8836317e-10,8.7414955e-09,4.1159087e-10,0.0036932926,0.001211678,0.009045613,0.0017568516,0.028255722,0.020378098,0.84443825,5.277474e-05,0.0015200139,1.899731e-08,1.2888407e-09,0.0005267339,0.0109356055,0.0005554067,0.0038676935,0.0041681537,0.003494079,0.0066135437,0.0022797226,0.020997511,0.00043752237,0.018642418,0.00015824885,0.038886104,0.006199342,0.00033276106,0.008597142,0.0028572886,0.0068475218,6.245268e-10,0.0031225984,0.0007042908,0.15501401,0.011610044
Otu64,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Muricomes,na,1.6476455e-05,3.6742995e-10,9.356767e-09,6.934342e-05,7.4708106e-10,9.933612e-10,9.143146e-06,5.696161e-10,0.0002806331,0.00010328698,8.6194857e-10,3.0260772e-09,4.9627256e-06,8.65758e-10,2.2960857e-07,1.6215736e-05,2.729434e-10,6.829398e-06,0.0008772313,1.1301061e-09,0.009919916,0.000636942,9.64609e-09,0.0006279045,8.081578e-06,1.4819511e-09,1.2562949e-06,6.2655187e-10,4.223885e-07,0.021200681,0.0008677013,0.0011834448,5.023098e-10,6.9536565e-10,0.00548368,0.004720733,9.239488e-10,5.306254e-10,0.1989589,5.630016e-09,4.967303e-07,4.82892e-10,7.342252e-05,5.4899224e-10,1.5669244e-09,5.139855e-10,0.007509233,0.01205849,1.0967944e-09,1.7855727e-06,0.00056545174,1.5046125e-05,0.0011301822,0.00012989788,6.3215703e-06,3.7473215e-05,2.13342e-06,0.0004341073,6.0996896e-10,1.3645679e-09,0.00059222395,0.0013530209,0.00042555956
Otu75,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Acetivibrio,na,0.0007199002,0.00014612553,1.6196532e-10,9.0205365e-05,4.793225e-10,6.3923844e-10,0.00058447703,5.299935e-10,4.541881e-10,4.854099e-10,0.0008237422,3.9843528e-10,6.588351e-10,6.551608e-10,4.3242018e-10,2.9676664e-10,1.8687825e-10,3.9202375e-10,1.885143e-09,0.00065602624,3.2826736e-10,0.0001303295,2.641669e-10,5.0343274e-10,0.0010291887,7.474493e-10,3.199985e-10,6.643696e-10,3.875295e-10,2.2903111e-10,3.6361583e-10,1.3632675e-09,5.023874e-10,2.9308544e-10,0.00385718,0.00013200124,6.0643524e-10,5.15747e-09,7.902313e-09,7.302389e-10,0.0009088656,4.82892e-10,0.0035263617,6.462867e-05,0.00089951354,0.00069959427,0.013221281,8.957118e-10,0.012658579,4.7805e-10,0.00025200512,8.7057367e-10,0.00034342366,0.00307419,2.7068549e-05,0.0007010319,4.5279908e-10,0.0016658944,6.1997885e-10,8.5908874e-10,2.0223231e-08,1.3475017e-09,7.2758727e-10
Otu62,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Pseudoflavonifractor,na,8.695076e-10,1.8055264e-10,0.00036538308,4.862537e-10,0.006959045,7.8647616e-10,0.0042629023,1.2659734e-08,4.6241883e-10,0.00057918526,5.679079e-10,1.1758025e-09,1.3250577e-09,0.00064847514,3.6507383e-10,3.2045253e-10,1.7226123e-09,4.5207196e-10,0.005026785,0.00025305408,0.0013797139,2.5299862e-05,0.00017934346,0.003457098,4.7768783e-10,0.00046842155,4.2719867e-10,0.023100743,3.8879777e-10,0.004748237,3.5524145e-10,0.0191774,0.00084629346,2.566704e-10,8.094514e-10,7.2217e-10,0.0027626485,0.0019314648,0.0013190975,1.5976678e-09,9.282006e-10,5.359481e-10,0.0027078998,0.002643177,0.0007052113,0.00030478075,7.1738915e-10,0.009220013,0.0024254194,1.9610538e-09,0.021128263,9.039903e-10,0.03665445,0.0025191712,1.9860094e-09,0.0005568837,4.5279908e-10,0.0014733053,8.233462e-10,0.010482857,0.0051957006,0.014985067,0.0038870885
Otu18,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Eisenbergiella,na,0.0029294244,6.7762485e-05,2.6983374e-10,0.0031898078,0.0030012224,1.5525029e-09,0.005021092,0.0007664899,0.0017591628,0.004971745,3.084742e-10,0.00034274813,0.0023974874,3.0157611e-05,1.0732041e-09,1.8669963e-09,3.0222047e-10,0.0005157598,0.0041495175,7.828768e-05,0.0005745731,0.84780264,2.5546862e-10,0.000801331,0.0020316807,0.0021246688,4.8205245e-10,1.4269635e-09,1.5277333e-08,0.0017469613,0.0023073906,0.008257444,0.00012593342,3.7395576e-10,0.024408713,0.0020872916,1.1288481e-09,0.0009872406,0.00057996414,0.005117631,0.0017053789,0.002397445,0.0024136144,5.157905e-10,0.0013513791,0.01046614,0.0010223802,0.0004993508,0.011371063,0.0055370573,0.0052066757,0.0007224018,0.0041067563,0.0064927265,0.021861851,0.00040145288,4.5279908e-10,0.0006314718,6.126227e-10,0.001202473,0.002440571,0.004822283,4.056701e-09
