	Kingdom	Kingdom confidence	Phylum	Phylum confidence	Class	Class confidence	Order	Order confidence	Family	Family confidence	Genus	Genus confidence
Otu1	Bacteria	100	Firmicutes	100	Erysipelotrichia	92	Erysipelotrichales	92	Erysipelotrichaceae	92	Turicibacter	92
Otu2	Bacteria	100	Actinobacteria	100	Coriobacteriia	100	Coriobacteriales	99	Atopobiaceae	99	Olsenella	99
Otu4	Bacteria	100	Bacteroidetes	100	Bacteroidia	100	Bacteroidales	100	Muribaculaceae	100	Duncaniella	91
Otu3	Bacteria	100	Firmicutes	100	Bacilli	100	Lactobacillales	100	Lactobacillaceae	100	Lactobacillus	98
Otu33	Bacteria	100	Proteobacteria	100	Betaproteobacteria	100	Burkholderiales	100	Sutterellaceae	100	Parasutterella	100
Otu134	Bacteria	100	Proteobacteria	100	Gammaproteobacteria	100	Pasteurellales	100	Pasteurellaceae	100	Haemophilus	91
Otu11	Bacteria	100	Firmicutes	100	Clostridia	100	Clostridiales	100	Lachnospiraceae	100	Clostridium XlVa	90
Otu8	Bacteria	100	Bacteroidetes	100	Bacteroidia	100	Bacteroidales	100	Muribaculaceae	94	Paramuribaculum	89
Otu7	Bacteria	100	Bacteroidetes	100	Bacteroidia	100	Bacteroidales	100	Muribaculaceae	100	Duncaniella	55
Otu9	Bacteria	100	Firmicutes	100	Clostridia	100	Clostridiales	100	Clostridiaceae 1	100	Clostridium sensu stricto	98
Otu28	Bacteria	100	Actinobacteria	98	Coriobacteriia	98	Coriobacteriales	36	Coriobacteriaceae	36	Senegalimassilia	36
Otu53	Bacteria	100	Firmicutes	100	Clostridia	100	Clostridiales	100	Lachnospiraceae	100	Dorea	91
Otu51	Bacteria	100	Actinobacteria	100	Actinobacteria	100	Propionibacteriales	100	Propionibacteriaceae	100	Cutibacterium	100
Otu25	Bacteria	100	Firmicutes	100	Clostridia	100	Clostridiales	100	Lachnospiraceae	99	Murimonas	29
Otu14	Bacteria	99	Firmicutes	99	Clostridia	99	Clostridiales	99	Lachnospiraceae	98	Murimonas	64
Otu31	Bacteria	100	Bacteroidetes	100	Bacteroidia	100	Bacteroidales	100	Muribaculaceae	100	Muribaculum	62
Otu83	Bacteria	100	Firmicutes	100	Bacilli	100	Lactobacillales	100	Streptococcaceae	100	Streptococcus	100
Otu5	Bacteria	100	Firmicutes	100	Clostridia	100	Clostridiales	100	Lachnospiraceae	100	Schaedlerella	98
Otu12	Bacteria	100	Firmicutes	95	Clostridia	95	Clostridiales	95	Ruminococcaceae	93	Paludicola	28
Otu104	Bacteria	100	Proteobacteria	100	Betaproteobacteria	100	Burkholderiales	100	Comamonadaceae	100	Acidovorax	96
Otu21	Bacteria	100	Firmicutes	98	Clostridia	98	Clostridiales	98	Lachnospiraceae	97	Marvinbryantia	51
Otu23	Bacteria	100	Actinobacteria	100	Coriobacteriia	100	Eggerthellales	100	Eggerthellaceae	100	Adlercreutzia	100
Otu15	Bacteria	100	Firmicutes	98	Clostridia	90	Clostridiales	90	Lachnospiraceae	31	Mordavella	9
Otu22	Bacteria	100	Firmicutes	99	Clostridia	99	Clostridiales	98	Ruminococcaceae	95	Tepidibaculum	49
Otu93	Bacteria	100	Firmicutes	100	Bacilli	100	Bacillales	100	Bacillales_Incertae Sedis XI	99	Gemella	99
Otu130	Bacteria	100	Firmicutes	100	Bacilli	100	Lactobacillales	100	Carnobacteriaceae	100	Dolosigranulum	100
Otu6	Bacteria	100	Firmicutes	96	Clostridia	90	Clostridiales	90	Lachnospiraceae	31	Lactonifactor	12
Otu45	Bacteria	100	Bacteroidetes	100	Bacteroidia	100	Bacteroidales	100	Muribaculaceae	98	Paramuribaculum	60
Otu157	Bacteria	100	Bacteroidetes	100	Bacteroidia	100	Bacteroidales	100	Muribaculaceae	100	Duncaniella	84
Otu168	Bacteria	100	Actinobacteria	100	Actinobacteria	100	Mycobacteriales	100	Corynebacteriaceae	100	Corynebacterium	100
Otu162	Bacteria	100	Actinobacteria	100	Coriobacteriia	100	Eggerthellales	100	Eggerthellaceae	100	Adlercreutzia	99
Otu94	Bacteria	100	Bacteroidetes	100	Bacteroidia	100	Bacteroidales	100	Muribaculaceae	100	Muribaculum	72
Otu42	Bacteria	100	Firmicutes	100	Bacilli	100	Bacillales	100	Staphylococcaceae	100	Staphylococcus	99
Otu26	Bacteria	100	Firmicutes	100	Clostridia	100	Clostridiales	100	Ruminococcaceae	100	Neglecta	91
Otu34	Bacteria	100	Firmicutes	100	Clostridia	100	Clostridiales	100	Lachnospiraceae	100	Mediterraneibacter	32
Otu185	Eukaryota	100	Plantae	100	Liliopsida	100	Poales	100	Poaceae	100	Zea	100
Otu160	Bacteria	100	Proteobacteria	100	Betaproteobacteria	100	Neisseriales	100	Neisseriaceae	100	Neisseria	100
Otu64	Eukaryota	100	Plantae	100	Liliopsida	100	Poales	100	Poaceae	100	Zea	100
Otu122	Bacteria	100	Firmicutes	94	Clostridia	91	Clostridiales	91	Lachnospiraceae	29	Lactonifactor	12
Otu163	Bacteria	100	Actinobacteria	100	Actinobacteria	100	Mycobacteriales	100	Corynebacteriaceae	100	Corynebacterium	100
Otu200	Bacteria	100	Bacteroidetes	100	Bacteroidia	100	Bacteroidales	100	Muribaculaceae	100	Duncaniella	76
Otu99	Bacteria	99	Firmicutes	87	Clostridia	83	Clostridiales	81	Clostridiales_Incertae Sedis XIII	17	Alterileibacterium	17
Otu147	Bacteria	100	Firmicutes	100	Bacilli	100	Bacillales	100	Bacillales_Incertae Sedis X	100	Thermicanus	100
Otu35	Bacteria	100	Actinobacteria	100	Coriobacteriia	97	Eggerthellales	61	Eggerthellaceae	61	Adlercreutzia	40
Otu20	Bacteria	100	Firmicutes	100	Erysipelotrichia	100	Erysipelotrichales	100	Erysipelotrichaceae	99	Clostridium XVIII	99
Otu59	Bacteria	100	Firmicutes	99	Clostridia	96	Clostridiales	96	Ruminococcaceae	90	Monoglobus	50
Otu13	Bacteria	100	Firmicutes	100	Clostridia	100	Clostridiales	100	Lachnospiraceae	96	Anaerostipes	49
Otu190	Bacteria	100	Firmicutes	100	Bacilli	100	Lactobacillales	100	Lactobacillaceae	100	Weissella	100
