Otu,Kingdom,Phylum,Class,Order,Family,Genus,Species
OTU1720,Bacteria,Firmicutes,Clostridia,Clostridiales,Oscillospiraceae,Oscillibacter,Oscillibacter valericigenes
OTU3529,Bacteria,Proteobacteria,Gammaproteobacteria,Thiotrichales,Thiotrichaceae,Thiothrix,na
OTU3620,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Parabacteroides,na
OTU93,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,na
OTU3524,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Roseburia,Roseburia inulinivorans
OTU2654,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,na
OTU3776,Bacteria,Tenericutes,Mollicutes,na,na,na,na
OTU2298,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides paurosaccharolyticus
OTU26,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Faecalibacterium,Faecalibacterium prausnitzii
OTU66,Bacteria,Firmicutes,na,na,na,na,na
OTU1067,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Roseburia,na
OTU3463,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Faecalibacterium,Faecalibacterium prausnitzii
OTU1023,Bacteria,Firmicutes,Clostridia,Clostridiales,na,na,na
OTU1451,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcus,Ruminococcus callidus
OTU2336,Bacteria,Proteobacteria,Gammaproteobacteria,na,na,na,na
OTU542,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Alloprevotella,na
OTU3072,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,na
OTU553,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,na,na
OTU3688,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Blautia,na
OTU3750,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides paurosaccharolyticus
OTU2125,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,na
OTU2451,Bacteria,Firmicutes,Clostridia,Clostridiales,na,na,na
OTU161,Bacteria,Firmicutes,Clostridia,Clostridiales,na,na,na
OTU2142,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Roseburia,Roseburia faecis
OTU176,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Butyricimonas,Butyricimonas virosa
OTU2384,Bacteria,Firmicutes,Clostridia,Clostridiales,na,na,na
OTU290,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Butyricimonas,na
OTU816,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptococcaceae,na,na
OTU1308,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Roseburia,Roseburia inulinivorans
OTU845,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,na,na
OTU2946,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides paurosaccharolyticus
OTU3017,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Roseburia,Roseburia inulinivorans
OTU3451,Bacteria,Firmicutes,Bacilli,Bacillales,na,na,na
