Otu,Domain,Phylum,Class,Order,Family,Genus
Otu14,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Clostridium_XlVa
Otu16,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,na
Otu32,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Roseburia
Otu2,Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Turicibacter
Otu12,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Enterocloster
Otu11,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Eisenbergiella
Otu9,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,na
Otu8,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,na
Otu23,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,na
Otu26,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Hespellia
Otu15,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,na
Otu3,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Akkermansiaceae,Akkermansia
Otu45,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,na
Otu27,Bacteria,Firmicutes,Clostridia,Clostridiales,na,na
Otu42,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,na
Otu20,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Anaerostipes
Otu52,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Marvinbryantia
Otu47,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,na
Otu19,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,na,na
Otu48,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Roseburia
Otu43,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Muricomes
Otu37,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,na
Otu55,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Clostridium_XlVa
Otu38,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Imtechella
Otu13,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,na
Otu22,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,na
Otu25,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,na,na
Otu21,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,na,na
Otu30,Bacteria,Firmicutes,Clostridia,Clostridiales,na,na
Otu7,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Muribaculaceae,Duncaniella
Otu40,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,na
Otu6,Bacteria,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,Eubacterium
Otu33,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Faecalicatena
Otu60,Bacteria,Firmicutes,Clostridia,Clostridiales,na,na
Otu57,Bacteria,Firmicutes,Clostridia,Clostridiales,na,na
