	Kingdom	Kingdom confidence	Phylum	Phylum confidence	Class	Class confidence	Order	Order confidence	Family	Family confidence	Genus	Genus confidence
Otu19	Bacteria	100	Tenericutes	95	Mollicutes	95	Anaeroplasmatales	94	Anaeroplasmataceae	94	Anaeroplasma	94.0
Otu21	Bacteria	100	Firmicutes	100	Clostridia	100	Clostridiales	100	Ruminococcaceae	99	Sporobacter	62.0
Otu13	Bacteria	100	Firmicutes	100	Clostridia	100	Clostridiales	100	Lachnospiraceae	99	Clostridium XlVa	42.0
Otu62	Bacteria	100	Firmicutes	100	Clostridia	100	Clostridiales	100	Lachnospiraceae	100	Clostridium XlVa	16.0
Otu9	Bacteria	100	Firmicutes	100	Clostridia	100	Clostridiales	100	Lachnospiraceae	100	Acetatifactor	37.0
Otu12	Bacteria	100	Firmicutes	100	Clostridia	100	Clostridiales	100	Lachnospiraceae	100	Kineothrix	63.0
Otu48	Bacteria	100	Firmicutes	100	Clostridia	100	Clostridiales	100	Lachnospiraceae	100	Clostridium XlVa	46.0
Otu10	Bacteria	100	Firmicutes	65	Clostridia	64	Clostridiales	60	Peptococcaceae 1	26	Peptococcus	23.0
Otu47	Bacteria	99	Firmicutes	99	Clostridia	99	Clostridiales	99	Lachnospiraceae	98	Murimonas	64.0
Otu215	Bacteria	100	Firmicutes	99	Clostridia	94	Clostridiales	94	Lachnospiraceae	55	Lactonifactor	14.0
Otu28	Bacteria	100	Firmicutes	94	Clostridia	92	Clostridiales	92	Lachnospiraceae	38	Lactonifactor	17.0
Otu20	Bacteria	100	Firmicutes	100	Clostridia	100	Clostridiales	100	Ruminococcaceae	100	Oscillibacter	61.0
Otu31	Bacteria	100	Firmicutes	100	Clostridia	100	Clostridiales	100	Lachnospiraceae	100	Clostridium XlVa	12.0
Otu143	Bacteria	99	Firmicutes	95	Clostridia	89	Clostridiales	89	Clostridiales_Incertae Sedis XIII	40	Bacilliculturomica	40.0
Otu66	Bacteria	100	Firmicutes	96	Clostridia	89	Clostridiales	78	Catabacteriaceae	29	Catabacter	29.0
Otu40	Bacteria	100	Firmicutes	100	Clostridia	100	Clostridiales	100	Lachnospiraceae	99	Mordavella	29.0
Otu11	Bacteria	100	Firmicutes	100	Clostridia	100	Clostridiales	100	Lachnospiraceae	100	Schaedlerella	72.0
Otu6	Bacteria	100	Bacteroidetes	100	Bacteroidia	100	Bacteroidales	100	Muribaculaceae	94	Paramuribaculum	89.0
Otu170	Bacteria	100	Firmicutes	100	Clostridia	100	Clostridiales	100	Lachnospiraceae	99	Merdimonas	33.0
Otu3	Bacteria	100	Bacteroidetes	100	Bacteroidia	100	Bacteroidales	100	Bacteroidaceae	100	Bacteroides	100.0
Otu5	Bacteria	100	Bacteroidetes	100	Bacteroidia	100	Bacteroidales	100	Muribaculaceae	100	Duncaniella	100.0
Otu18	Bacteria	100	Firmicutes	100	Clostridia	100	Clostridiales	100	Lachnospiraceae	100	Sellimonas	14.0
Otu44	Bacteria	100	Firmicutes	100	Clostridia	99	Clostridiales	99	Lachnospiraceae	99	Ruminococcus2	11.0
Otu137	Bacteria	100	Firmicutes	100	Clostridia	100	Clostridiales	100	Lachnospiraceae	98	Hungatella	35.0
Otu23	Bacteria	100	Firmicutes	100	Clostridia	100	Clostridiales	100	Lachnospiraceae	100	Hungatella	52.0
Otu17	Bacteria	100	Firmicutes	100	Clostridia	100	Clostridiales	100	Lachnospiraceae	100	Kineothrix	52.0
Otu99	Bacteria	100	Firmicutes	99	Clostridia	95	Clostridiales	95	Peptostreptococcaceae	40	Criibacterium	38.0
Otu30	Bacteria	100	Firmicutes	93	Clostridia	89	Clostridiales	88	Peptostreptococcaceae	40	Criibacterium	35.0
Otu57	Bacteria	100	Firmicutes	100	Clostridia	100	Clostridiales	100	Lachnospiraceae	100	Cuneatibacter	29.0
Otu85	Bacteria	100	Firmicutes	100	Clostridia	99	Clostridiales	99	Ruminococcaceae	96	Flintibacter	40.0
Otu129	Bacteria	100	Firmicutes	100	Clostridia	100	Clostridiales	100	Lachnospiraceae	100	Enterocloster	30.0
Otu46	Bacteria	100	Firmicutes	52	Clostridia	49	Clostridiales	49	Peptostreptococcaceae	14	Wukongibacter	5.0
