	Kingdom	Phylum	Class	Order	Family	Genus
Otu1	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	
Otu10	Bacteria	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	
Otu100	Bacteria	Firmicutes	Negativicutes	Veillonellales-Selenomonadales	Veillonellaceae	Megasphaera
Otu1005	Unclassified					
Otu1008	Unclassified					
Otu101	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	
Otu1014	Bacteria	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	
Otu1016	Bacteria	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	Ruminococcus
Otu1017	Bacteria	Firmicutes	Clostridia	Oscillospirales	Oscillospiraceae	
Otu1018	Unclassified					
Otu102	Bacteria	Firmicutes	Negativicutes	Veillonellales-Selenomonadales	Veillonellaceae	Veillonella
Otu1021	Unclassified					
Otu1027	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	FD2005
Otu103	Bacteria	Firmicutes	Clostridia	Oscillospirales		
Otu1030	Unclassified					
Otu1037	Unclassified					
Otu1039	Bacteria	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	
Otu104	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	
Otu1046	Unclassified					
Otu105	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales		
Otu1051	Unclassified					
Otu1054	Unclassified					
Otu106	Bacteria	Firmicutes	Negativicutes	Veillonellales-Selenomonadales	Veillonellaceae	Veillonella
Otu1062	Unclassified					
Otu1064	Unclassified					
Otu1065	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Amoebophilaceae	Candidatus Amoebophilus
Otu1066	Unclassified					
Otu107	Bacteria	Firmicutes	Clostridia	Christensenellales	Christensenellaceae	Christensenellaceae R-7 group
Otu1073	Bacteria	Firmicutes	Clostridia			
Otu108	Bacteria	Firmicutes	Clostridia	Oscillospirales	Oscillospiraceae	
Otu1080	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	Sphingobacteriaceae	
Otu1086	Unclassified					
Otu109	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Coprococcus
Otu1091	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	
Otu11	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides
Otu110	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	
Otu1104	Unclassified					
Otu111	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Sutterellaceae	Parasutterella
Otu1112	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales		
Otu112	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Verrucomicrobiales	Akkermansiaceae	Akkermansia
Otu1121	Bacteria	Firmicutes	Clostridia	Oscillospirales		
Otu1122	Unclassified					
Otu1127	Bacteria	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	
Otu113	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides
Otu1133	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	
Otu1136	Bacteria	Actinobacteriota	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium
Otu114	Bacteria	Firmicutes	Clostridia	Oscillospirales	Butyricicoccaceae	Butyricicoccus
Otu1143	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	
Otu1144	Bacteria	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	
