LWR	fract	aLWR	afract	taxopath
51.67	0.01317	3923	1	Bacteria
22.55	0.005749	2242	0.5715	Bacteria;Firmicutes
2.022	0.0005154	2004	0.5109	Bacteria;Firmicutes;Clostridia
311.7	0.07946	1971	0.5023	Bacteria;Firmicutes;Clostridia;Clostridiales
0	0	38.06	0.009702	Bacteria;Firmicutes;Clostridia;Clostridiales;Oscillospiraceae
0	0	38.06	0.009702	Bacteria;Firmicutes;Clostridia;Clostridiales;Oscillospiraceae;Oscillibacter
38.06	0.009702	38.06	0.009702	Bacteria;Firmicutes;Clostridia;Clostridiales;Oscillospiraceae;Oscillibacter;Oscillibacter valericigenes
13.16	0.003355	169	0.04307	Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae
23.01	0.005866	70.97	0.01809	Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Clostridium
4.261	0.001086	4.261	0.001086	Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Clostridium;Clostridium sp. T-1-35
20.7	0.005276	20.7	0.005276	Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Clostridium;Clostridium sp. UB-B.2
2.139	0.0005452	2.139	0.0005452	Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Clostridium;Clostridium sp. LAM201
16.35	0.004168	16.35	0.004168	Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Clostridium;Clostridium mayombei
4.278	0.001091	4.278	0.001091	Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Clostridium;Clostridium sp. K13-19
0.07145	1.821e-05	0.07145	1.821e-05	Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Clostridium;Clostridium proteolyticum
0.08506	2.168e-05	0.08506	2.168e-05	Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Clostridium;Clostridium histolyticum
0.0719	1.833e-05	0.0719	1.833e-05	Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Clostridium;Clostridium limosum
0	0	56.38	0.01437	Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Lactonifactor
56.38	0.01437	56.38	0.01437	Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Lactonifactor;Lactonifactor longoviformis
0	0	6.973	0.001777	Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Brassicibacter
6.973	0.001777	6.973	0.001777	Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Brassicibacter;Brassicibacter mesophilus
0	0	0.4949	0.0001261	Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Clostridiisalibacter
0.4949	0.0001261	0.4949	0.0001261	Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Clostridiisalibacter;Clostridiisalibacter paucivorans
0	0	1.141	0.0002908	Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Lutispora
1.141	0.0002908	1.141	0.0002908	Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Lutispora;Lutispora thermophila
1.026	0.0002616	2.231	0.0005687	Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Caloramator
0.3763	9.592e-05	0.3763	9.592e-05	Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Caloramator;Caloramator boliviensis
0.09221	2.35e-05	0.09221	2.35e-05	Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Caloramator;Caloramator quimbayensis
0.3433	8.752e-05	0.3433	8.752e-05	Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Caloramator;Caloramator indicus
0.294	7.494e-05	0.294	7.494e-05	Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Caloramator;Caloramator australicus
0.09906	2.525e-05	0.09906	2.525e-05	Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Caloramator;Caloramator viterbiensis
0	0	0.9234	0.0002354	Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Fonticella
0.9234	0.0002354	0.9234	0.0002354	Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Fonticella;Fonticella tunisiensis
0	0	4.169	0.001063	Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Anaerosalibacter
4.169	0.001063	4.169	0.001063	Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Anaerosalibacter;Anaerosalibacter bizertensis
5.322e-05	1.357e-08	0.2098	5.347e-05	Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Natronincola
0.1659	4.229e-05	0.1659	4.229e-05	Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Natronincola;Natronincola histidinovorans
0.04381	1.117e-05	0.04381	1.117e-05	Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Natronincola;Natronincola peptidivorans
0	0	2.062	0.0005256	Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Oceanirhabdus
2.062	0.0005256	2.062	0.0005256	Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Oceanirhabdus;Oceanirhabdus sediminicola
0	0	6.069	0.001547	Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Anaerosporobacter
6.069	0.001547	6.069	0.001547	Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Anaerosporobacter;Anaerosporobacter mobilis
0	0	0.2099	5.35e-05	Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Fervidicella
0.2099	5.35e-05	0.2099	5.35e-05	Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Fervidicella;Fervidicella metallireducens
0	0	0.02449	6.244e-06	Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Thermohalobacter
0.02449	6.244e-06	0.02449	6.244e-06	Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Thermohalobacter;Thermohalobacter berrensis
0	0	0.0009316	2.375e-07	Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Caloranaerobacter
0.0009316	2.375e-07	0.0009316	2.375e-07	Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Caloranaerobacter;Caloranaerobacter azorensis
0	0	2.684	0.0006841	Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Anaerobacter
2.684	0.0006841	2.684	0.0006841	Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Anaerobacter;Anaerobacter polyendosporus
0.845	0.0002154	0.8451	0.0002154	Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Alkaliphilus
3.799e-05	9.684e-09	3.799e-05	9.684e-09	Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Alkaliphilus;Alkaliphilus oremlandii
2.2e-05	5.608e-09	2.2e-05	5.608e-09	Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Alkaliphilus;Alkaliphilus halophilus
0	0	0.1096	2.795e-05	Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Caminicella
0.1096	2.795e-05	0.1096	2.795e-05	Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Caminicella;Caminicella sporogenes
0	0	0.1778	4.532e-05	Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Anoxynatronum
0.1778	4.532e-05	0.1778	4.532e-05	Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Anoxynatronum;Anoxynatronum sibiricum
0.04953	1.263e-05	0.04953	1.263e-05	Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Youngiibacter
1.053e-05	2.684e-09	0.08627	2.199e-05	Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Tepidimicrobium
0.08626	2.199e-05	0.08626	2.199e-05	Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Tepidimicrobium;Tepidimicrobium ferriphilum
108.8	0.02774	554.5	0.1414	Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae
0	0	19.9	0.005074	Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Acetivibrio
13.9	0.003543	13.9	0.003543	Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Acetivibrio;Acetivibrio cellulolyticus
6.005	0.001531	6.005	0.001531	Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Acetivibrio;Acetivibrio ethanolgignens
0	0	64.43	0.01642	Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Faecalibacterium
64.43	0.01642	64.43	0.01642	Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Faecalibacterium;Faecalibacterium prausnitzii
157.4	0.04012	283.2	0.0722	Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcus
63.21	0.01611	63.21	0.01611	Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcus;Ruminococcus callidus
31.33	0.007987	31.33	0.007987	Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcus;Ruminococcus flavefaciens
31.31	0.007982	31.31	0.007982	Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcus;Ruminococcus albus
10.61	0.002705	18.08	0.004608	Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Anaerofilum
3.594	0.000916	3.594	0.000916	Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Anaerofilum;Anaerofilum agile
3.87	0.0009865	3.87	0.0009865	Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Anaerofilum;Anaerofilum pentosovorans
0	0	22.66	0.005776	Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Gemmiger
22.66	0.005776	22.66	0.005776	Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Gemmiger;Gemmiger formicilis
0	0	17.74	0.004522	Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Hydrogenoanaerobacterium
17.74	0.004522	17.74	0.004522	Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Hydrogenoanaerobacterium;Hydrogenoanaerobacterium saccharovorans
0	0	10.16	0.00259	Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Papillibacter
10.16	0.00259	10.16	0.00259	Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Papillibacter;Papillibacter cinnamivorans
0	0	4.938	0.001259	Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ethanoligenens
4.938	0.001259	4.938	0.001259	Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ethanoligenens;Ethanoligenens harbinense
0	0	2.948	0.0007515	Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Sporobacter
2.948	0.0007515	2.948	0.0007515	Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Sporobacter;Sporobacter termitidis
0	0	1.611	0.0004106	Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Acetanaerobacterium
1.611	0.0004106	1.611	0.0004106	Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Acetanaerobacterium;Acetanaerobacterium elongatum
236	0.06017	748.8	0.1909	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae
36.56	0.009319	90.39	0.02304	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Roseburia
25.67	0.006545	25.67	0.006545	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Roseburia;Roseburia inulinivorans
3.778	0.000963	3.778	0.000963	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Roseburia;Roseburia intestinalis
3.638	0.0009273	3.638	0.0009273	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Roseburia;Roseburia hominis
20.74	0.005288	20.74	0.005288	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Roseburia;Roseburia faecis
0	0	15.04	0.003834	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Pseudobutyrivibrio
15.04	0.003834	15.04	0.003834	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Pseudobutyrivibrio;Pseudobutyrivibrio ruminis
0	0	14.34	0.003656	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Cellulosilyticum
14.34	0.003656	14.34	0.003656	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Cellulosilyticum;Cellulosilyticum lentocellum
24.51	0.006248	86.39	0.02202	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Blautia
8.332	0.002124	8.332	0.002124	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Blautia;[Ruminococcus] obeum
2.944	0.0007504	2.944	0.0007504	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Blautia;Blautia coccoides
5.05	0.001287	5.05	0.001287	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Blautia;Blautia producta
3.324	0.0008473	3.324	0.0008473	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Blautia;Blautia hansenii
3.035	0.0007736	3.035	0.0007736	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Blautia;Blautia stercoris
17.46	0.004451	17.46	0.004451	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Blautia;Blautia schinkii
21.73	0.00554	21.73	0.00554	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Blautia;Blautia faecis
0	0	6.941	0.001769	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Sporobacterium
6.941	0.001769	6.941	0.001769	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Sporobacterium;Sporobacterium olearium
38.65	0.009851	49.02	0.0125	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Butyrivibrio
3.466	0.0008835	3.466	0.0008835	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Butyrivibrio;Butyrivibrio fibrisolvens
5.729	0.00146	5.729	0.00146	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Butyrivibrio;Butyrivibrio crossotus
0.4684	0.0001194	0.4684	0.0001194	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Butyrivibrio;Butyrivibrio proteoclasticus
0.7126	0.0001816	0.7126	0.0001816	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Butyrivibrio;Butyrivibrio hungatei
0	0	7.339	0.001871	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Robinsoniella
7.339	0.001871	7.339	0.001871	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Robinsoniella;Robinsoniella peoriensis
11.68	0.002976	23.49	0.005987	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Oribacterium
0.7455	0.00019	0.7455	0.00019	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Oribacterium;Oribacterium sinus
0.7637	0.0001947	0.7637	0.0001947	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Oribacterium;Oribacterium sp. ACB1
10.3	0.002626	10.3	0.002626	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Oribacterium;Oribacterium sp. ACB7
0	0	10.24	0.00261	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Fusicatenibacter
10.24	0.00261	10.24	0.00261	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Fusicatenibacter;Fusicatenibacter saccharivorans
0	0	40.69	0.01037	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Eisenbergiella
40.69	0.01037	40.69	0.01037	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Eisenbergiella;Eisenbergiella tayi
0	0	6.003	0.00153	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Marvinbryantia
6.003	0.00153	6.003	0.00153	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Marvinbryantia;Marvinbryantia formatexigens
0	0	20.55	0.005239	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Lachnobacterium
20.55	0.005239	20.55	0.005239	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Lachnobacterium;Lachnobacterium bovis
0	0	6.67	0.0017	Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Catonella
