Otu,Kingdom,Phylum,Class,Order,Family,Genus,Species
Otu1720,Bacteria,Firmicutes,Clostridia,Clostridiales,Oscillospiraceae,Oscillibacter,Oscillibacter valericigenes
Otu3529,Bacteria,Proteobacteria,Gammaproteobacteria,Thiotrichales,Thiotrichaceae,Thiothrix,na
Otu3620,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Parabacteroides,na
Otu93,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,na
Otu3524,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Roseburia,Roseburia inulinivorans
Otu2654,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,na
Otu3776,Bacteria,Tenericutes,Mollicutes,na,na,na,na
Otu2298,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides paurosaccharolyticus
Otu26,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Faecalibacterium,Faecalibacterium prausnitzii
Otu66,Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Coprobacillaceae,Thomasclavelia,na
Otu1067,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Roseburia,na
Otu3463,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Faecalibacterium,Faecalibacterium prausnitzii
Otu1023,Bacteria,Firmicutes,Clostridia,Clostridiales,na,na,na
Otu1451,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcus,Ruminococcus callidus
Otu2336,Bacteria,Proteobacteria,Gammaproteobacteria,na,na,na,na
Otu542,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Alloprevotella,na
Otu3072,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,na
Otu553,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,na,na
Otu3688,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Blautia,na
Otu3750,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides paurosaccharolyticus
Otu2125,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,na
Otu2451,Bacteria,Firmicutes,Clostridia,Clostridiales,na,na,na
Otu161,Bacteria,Firmicutes,Clostridia,Clostridiales,na,na,na
Otu2142,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Roseburia,Roseburia faecis
Otu176,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Butyricimonas,Butyricimonas virosa
Otu2384,Bacteria,Firmicutes,Clostridia,Clostridiales,na,na,na
Otu290,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Butyricimonas,na
Otu816,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptococcaceae,na,na
Otu1308,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Roseburia,Roseburia inulinivorans
Otu845,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,na,na
Otu2946,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides paurosaccharolyticus
Otu3017,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Roseburia,Roseburia inulinivorans
