Otu,domain,dconf,phylum,pconf,class,cconf,order,oconf,family,fconf,genus,gconf
Otu1,Bacteria,1,Firmicutes,1,Bacilli,1,Lactobacillales,1,Lactobacillaceae,1,Lactobacillus,0.99
Otu7,Bacteria,1,Firmicutes,1,Clostridia,1,Clostridiales,1,Lachnospiraceae,1,Clostridium_XlVa,0.68
Otu11,Bacteria,1,Actinobacteria,1,Coriobacteriia,1,Eggerthellales,1,Eggerthellaceae,1,Adlercreutzia,0.85
Otu8,Bacteria,1,Bacteroidetes,1,Bacteroidia,1,Bacteroidales,1,Muribaculaceae,0.99,Duncaniella,0.99
Otu2,Bacteria,1,Verrucomicrobia,1,Verrucomicrobiae,1,Verrucomicrobiales,1,Akkermansiaceae,1,Akkermansia,1
Otu6,Bacteria,1,Firmicutes,1,Clostridia,0.99,Clostridiales,0.99,Eubacteriaceae,0.56,Eubacterium,0.56
Otu9,Bacteria,1,Firmicutes,1,Clostridia,1,Clostridiales,1,Ruminococcaceae,0.97,Harryflintia,0.48
Otu10,Bacteria,1,Firmicutes,1,Erysipelotrichia,1,Erysipelotrichales,1,Erysipelotrichaceae,1,Faecalibaculum,0.99
Otu4,Bacteria,1,Firmicutes,1,Bacilli,1,Lactobacillales,1,Streptococcaceae,1,Lactococcus,1
Otu3,Bacteria,1,Firmicutes,1,Erysipelotrichia,0.53,Erysipelotrichales,0.53,Erysipelotrichaceae,0.53,Turicibacter,0.51
Otu5,Bacteria,1,Firmicutes,1,Bacilli,1,Bacillales,1,Bacillaceae_1,0.95,Bacillus,0.95
Otu13,Bacteria,1,Firmicutes,1,Clostridia,1,Clostridiales,1,Lachnospiraceae,1,Lachnospiracea_incertae_sedis,0.31
Otu22,Bacteria,1,Bacteroidetes,1,Bacteroidia,0.97,Bacteroidales,0.97,Porphyromonadaceae,0.44,Porphyromonas,0.34
Otu15,Bacteria,1,Firmicutes,1,Clostridia,1,Clostridiales,1,Lachnospiraceae,1,Dorea,0.36
Otu14,Bacteria,1,Firmicutes,1,Clostridia,1,Clostridiales,1,Lachnospiraceae,0.98,Enterocloster,0.53
Otu17,Bacteria,1,Firmicutes,1,Clostridia,1,Clostridiales,1,Lachnospiraceae,1,Agathobacter,0.48
Otu16,Bacteria,1,Firmicutes,1,Clostridia,1,Clostridiales,1,Lachnospiraceae,0.99,Johnsonella,0.47
Otu18,Bacteria,1,Firmicutes,1,Clostridia,1,Clostridiales,1,Lachnospiraceae,1,Eisenbergiella,0.86
Otu12,Bacteria,1,Actinobacteria,1,Coriobacteriia,1,Eggerthellales,1,Eggerthellaceae,1,Adlercreutzia,1
Otu19,Bacteria,1,Firmicutes,1,Clostridia,1,Clostridiales,1,Lachnospiraceae,1,Faecalicatena,0.68
Otu20,Bacteria,1,Bacteroidetes,1,Bacteroidia,0.99,Bacteroidales,0.99,Muribaculaceae,0.35,Muribaculum,0.18
Otu23,Bacteria,1,Firmicutes,0.56,Clostridia,0.56,Clostridiales,0.56,Ruminococcaceae,0.32,Spiroplasma,0.32
Otu21,Bacteria,1,Firmicutes,1,Clostridia,1,Clostridiales,1,Ruminococcaceae,1,Ruminococcus,1
Otu24,Bacteria,1,Firmicutes,1,Clostridia,1,Clostridiales,1,Lachnospiraceae,1,Extibacter,0.97
Otu27,Bacteria,1,Firmicutes,1,Clostridia,1,Clostridiales,1,Lachnospiraceae,0.88,Lachnobacterium,0.28
Otu32,Bacteria,1,Firmicutes,1,Clostridia,1,Clostridiales,1,Lachnospiraceae,1,Murimonas,0.41
Otu28,Bacteria,1,Firmicutes,1,Clostridia,1,Clostridiales,1,Lachnospiraceae,0.98,Lachnobacterium,0.38
Otu26,Bacteria,1,Firmicutes,1,Clostridia,1,Clostridiales,1,Lachnospiraceae,1,Lacrimispora,0.9
Otu30,Bacteria,1,Firmicutes,0.8,Clostridia,0.8,Clostridiales,0.8,Lachnospiraceae,0.79,Enterocloster,0.43
Otu25,Bacteria,1,Bacteroidetes,1,Bacteroidia,1,Bacteroidales,1,Dysgonomonadaceae,0.32,Dysgonomonas,0.32
Otu29,Bacteria,1,Firmicutes,1,Clostridia,1,Clostridiales,1,Peptostreptococcaceae,1,Romboutsia,1
Otu31,Bacteria,1,Firmicutes,1,Clostridia,1,Clostridiales,1,Lachnospiraceae,1,Faecalicatena,0.91
Otu33,Bacteria,1,Bacteroidetes,1,Bacteroidia,1,Bacteroidales,1,Porphyromonadaceae,0.64,Porphyromonas,0.5
Otu36,Bacteria,1,Firmicutes,1,Clostridia,1,Clostridiales,1,Lachnospiraceae,0.97,Clostridium_XlVa,0.31
Otu35,Bacteria,1,Firmicutes,0.51,Clostridia,0.44,Clostridiales,0.42,Lachnospiraceae,0.25,Acholeplasma,0.19
Otu38,Bacteria,1,Firmicutes,0.67,Clostridia,0.66,Clostridiales,0.66,Lachnospiraceae,0.54,Cellulosilyticum,0.5
Otu40,Bacteria,1,Firmicutes,0.99,Clostridia,0.99,Clostridiales,0.99,Lachnospiraceae,0.97,Howardella,0.26
Otu39,Bacteria,1,Firmicutes,1,Clostridia,1,Clostridiales,1,Lachnospiraceae,0.94,Anaerostipes,0.58
Otu34,Bacteria,1,Firmicutes,1,Erysipelotrichia,1,Erysipelotrichales,1,Erysipelotrichaceae,1,Clostridium_XVIII,1
Otu37,Bacteria,1,Firmicutes,0.89,Clostridia,0.89,Clostridiales,0.89,Lachnospiraceae,0.63,Shuttleworthia,0.62
Otu44,Bacteria,1,Firmicutes,1,Clostridia,1,Clostridiales,1,Lachnospiraceae,1,Acetatifactor,0.89
Otu41,Bacteria,1,Firmicutes,1,Clostridia,1,Clostridiales,1,Lachnospiraceae,1,Hespellia,0.84
Otu42,Bacteria,1,Firmicutes,1,Clostridia,1,Clostridiales,1,Ruminococcaceae,1,Colidextribacter,0.65
Otu43,Bacteria,1,Firmicutes,0.64,Clostridia,0.64,Clostridiales,0.64,Ruminococcaceae,0.4,Agathobaculum,0.27
Otu51,Bacteria,1,Firmicutes,0.92,Clostridia,0.92,Clostridiales,0.92,Lachnospiraceae,0.92,Marvinbryantia,0.79
Otu47,Bacteria,1,Firmicutes,1,Clostridia,1,Clostridiales,1,Lachnospiraceae,1,Roseburia,0.98
Otu45,Bacteria,1,Firmicutes,0.59,Clostridia,0.57,Clostridiales,0.56,Lachnospiraceae,0.34,Spiroplasma,0.19
Otu49,Bacteria,1,Firmicutes,1,Clostridia,1,Clostridiales,1,Lachnospiraceae,0.99,Enterocloster,0.52
Otu50,Bacteria,1,Firmicutes,1,Clostridia,1,Clostridiales,1,Lachnospiraceae,1,Enterocloster,0.99
Otu46,Bacteria,1,Firmicutes,1,Clostridia,1,Clostridiales,1,Ruminococcaceae,1,Ruminococcus,0.84
Otu48,Bacteria,1,Firmicutes,1,Clostridia,1,Clostridiales,1,Clostridiaceae_1,1,Clostridium_sensu_stricto,1
Otu52,Bacteria,1,Firmicutes,1,Clostridia,1,Clostridiales,1,Lachnospiraceae,0.99,Anaerocolumna,0.7
Otu53,Bacteria,1,Firmicutes,1,Clostridia,1,Clostridiales,1,Lachnospiraceae,1,Coprococcus,0.5
Otu54,Bacteria,1,Firmicutes,0.97,Clostridia,0.97,Clostridiales,0.97,Ruminococcaceae,0.97,Intestinimonas,0.44
Otu55,Bacteria,1,Firmicutes,1,Clostridia,1,Clostridiales,1,Ruminococcaceae,1,Acutalibacter,0.99
Otu57,Bacteria,1,Firmicutes,1,Clostridia,0.99,Clostridiales,0.99,Lachnospiraceae,0.99,Roseburia,0.55
Otu56,Bacteria,1,Tenericutes,0.52,Mollicutes,0.52,Acholeplasmatales,0.51,Acholeplasmataceae,0.51,Acholeplasma,0.51
Otu58,Bacteria,1,Bacteroidetes,1,Bacteroidia,1,Bacteroidales,1,Dysgonomonadaceae,0.52,Dysgonomonas,0.52
Otu59,Bacteria,1,Firmicutes,1,Clostridia,1,Clostridiales,1,Lachnospiraceae,1,Coprococcus,0.35
Otu60,Bacteria,1,Firmicutes,0.72,Clostridia,0.72,Clostridiales,0.72,Ruminococcaceae,0.33,Spiroplasma,0.14
Otu61,Bacteria,1,Bacteroidetes,1,Flavobacteriia,1,Flavobacteriales,1,Flavobacteriaceae,1,Imtechella,0.98
Otu62,Bacteria,1,Firmicutes,1,Clostridia,1,Clostridiales,1,Ruminococcaceae,1,Pseudoflavonifractor,0.56
Otu65,Bacteria,1,Firmicutes,1,Clostridia,1,Clostridiales,1,Ruminococcaceae,0.99,Acetivibrio,0.41
Otu63,Bacteria,1,Firmicutes,1,Clostridia,1,Clostridiales,1,Lachnospiraceae,1,Lachnospiracea_incertae_sedis,0.31
Otu64,Bacteria,1,Firmicutes,1,Clostridia,1,Clostridiales,1,Lachnospiraceae,1,Muricomes,0.81
Otu66,Bacteria,1,Firmicutes,1,Clostridia,1,Clostridiales,1,Lachnospiraceae,1,Muricomes,0.99
Otu67,Bacteria,1,Firmicutes,1,Clostridia,1,Clostridiales,1,Lachnospiraceae,1,Acetatifactor,0.38
