,Time,Subject,Assemblage,Value,log10Value
0,1,H11,A1,0.005004576864186675,-2.3006326361301714
1,1,H11,A2,0.007005767137045041,-2.1545443021849118
2,1,H11,A3,0.027919338312000035,-1.5540948787011832
3,1,H11,A4,0.012508586178999394,-1.9027917749874828
4,1,H11,A5,0.05992784375324845,-1.222371348248995
5,1,H11,A6,0.009982335181208328,-2.0007678517304357
6,1,H11,A7,0.006836365023395047,-2.1651747564524833
7,1,H11,A8,0.010416578091681004,-1.9822749259475099
8,1,H11,A9,0.004135861437534913,-2.383434019701836
9,1,H11,A10,0.03914308333769441,-1.407344967543501
10,1,H11,A11,0.005768378842622042,-2.238946224734995
11,1,H11,A12,0.006029050498502329,-2.219751078528235
12,1,H11,A13,0.006233743075048551,-2.205251101223129
13,1,H11,A14,0.004534680673154071,-2.343453290030546
14,1,H11,A15,0.014732204071711748,-1.831732273892302
15,1,H11,A16,0.01205677755177021,-1.9187687517722136
16,1,H11,A17,0.008973286632681265,-2.0470484594078724
17,1,H11,A18,0.0028895615162327884,-2.539168055350198
18,1,H11,A19,0.005147750316769816,-2.2883825260020734
19,1,H11,A20,0.0037253411177080127,-2.428833954122278
20,1,H11,A21,0.004941342796199024,-2.3061550167170206
21,1,H11,A22,0.014743209052830934,-1.8314079762971913
22,1,H11,A23,0.012079841054510326,-1.917938780086015
23,1,H11,A24,0.0026875776270171626,-2.5706389828909173
24,1,H11,A25,0.003911594019678887,-2.407646226523158
25,1,H11,A26,0.043857296030968426,-1.3579581477389682
26,1,H11,A27,0.00488361187488772,-2.3112588589148193
27,1,H11,A28,0.021566737435758113,-1.6662155489547266
28,1,H11,A29,0.053066022492945196,-1.2751834632298962
29,1,H11,A30,0.004882851190515794,-2.311326511047153
30,1,H11,A31,0.005033459061640315,-2.298133459261993
31,1,H11,A32,0.012574656802229583,-1.9005038592288428
32,1,H11,A33,0.010343797964043916,-1.9853199707221878
33,1,H11,A34,0.01276070325402543,-1.894125390589269
34,1,H11,A35,0.012097094046417624,-1.917318943003913
35,1,H11,A36,0.03318042067252099,-1.479118112145401
36,1,H11,A37,0.004810221362859011,-2.3178349372527665
37,1,H11,A38,0.0035130582449492066,-2.4543146497381922
38,1,H11,A39,0.009403273602714762,-2.0267209272414073
39,1,H11,A40,0.0029005090594291685,-2.5375257737219994
40,1,H11,A41,0.004379831384052522,-2.358542608761911
41,1,H11,A42,0.006146116633666679,-2.2113992024790514
42,1,H11,A43,0.006557820429559797,-2.1832404796335676
43,1,H11,A44,0.00415342706895899,-2.3815934110147428
44,1,H11,A45,0.01145586680341512,-1.9409720445192948
45,1,H11,A46,0.017252229573205113,-1.763154771386693
46,1,H11,A47,0.013293461373075842,-1.8763619220294547
47,1,H11,A48,0.0026274105788907038,-2.580472055796459
48,1,H11,A49,0.006390260435407981,-2.1944814417859293
49,1,H11,A50,0.00706449676095508,-2.1509187696575234
50,1,H11,A51,0.010380384880350903,-1.9837865435671602
51,1,H11,A52,0.02877184271812439,-1.541032322444565
52,1,H11,A53,0.03743251974135637,-1.4267509377016412
53,1,H11,A54,0.005318597300560213,-2.2742028911919845
54,1,H11,A55,0.07091659814864397,-1.1492521055683984
55,1,H11,A56,0.02294836180936545,-1.6392483115448597
56,1,H11,A57,0.01295249382732436,-1.8876466060093497
57,1,H11,A58,0.03821798181720078,-1.417732250530486
58,1,H11,A59,0.008002149094361812,-2.0967933611980363
59,1,H11,A60,0.03865317903272807,-1.4128147817043941
60,1,H11,A61,0.023943722043186427,-1.6208083377570321
61,1,H11,A62,0.02531532518286258,-1.596616489599843
62,1,H11,A63,0.00395212489971891,-2.4031693387803674
63,1,H11,A64,0.0035443789082346485,-2.4504598564917583
64,1,H11,A65,0.021378432663157584,-1.6700241377939016
65,1,H11,A66,0.010360213399166242,-1.9846312989222679
66,1,H11,A67,0.0027015588500653395,-2.5683855674620952
67,1,H11,A68,0.024604365474544466,-1.6089878305672018
68,1,H11,A69,0.005076468152343296,-2.2944383340548375
69,2,H11,A1,0.004454785254667513,-2.3511732265229015
70,2,H11,A2,0.009739494158420712,-2.011463598553765
71,2,H11,A3,0.00817032042518258,-2.0877609108898807
72,2,H11,A4,0.014613988889381289,-1.8352312271729716
73,2,H11,A5,0.008920807623537258,-2.049595826053449
74,2,H11,A6,0.012072472966276108,-1.9182037584362313
75,2,H11,A7,0.013816038073506206,-1.85961647863321
76,2,H11,A8,0.02141306057292968,-1.6693212544739124
77,2,H11,A9,0.010423771903384477,-1.9819751005749517
78,2,H11,A10,0.007959339214488863,-2.099122985957463
79,2,H11,A11,0.014920115847606212,-1.8262278047600795
80,2,H11,A12,0.023351064861752095,-1.6316933098285729
81,2,H11,A13,0.010813630299409852,-1.9660284823349135
82,2,H11,A14,0.010293562090955674,-1.987434311462459
83,2,H11,A15,0.008047168048331515,-2.0943569292433173
84,2,H11,A16,0.03317421796917915,-1.479199306162797
85,2,H11,A17,0.011918787508038804,-1.9237679228970803
86,2,H11,A18,0.011235892058350145,-1.9493924416570096
87,2,H11,A19,0.01461133288545534,-1.8353101647368428
88,2,H11,A20,0.01437210971210152,-1.8424794761891787
89,2,H11,A21,0.004746916259406134,-2.323588429625354
90,2,H11,A22,0.009143742585321888,-2.0388760087006856
91,2,H11,A23,0.007978454148629681,-2.098081246463099
92,2,H11,A24,0.004776595801231452,-2.320881507454719
93,2,H11,A25,0.01626074856845662,-1.7888594654045027
94,2,H11,A26,0.030274919947609304,-1.5189169965369336
95,2,H11,A27,0.010015626793261618,-1.9993218667062125
96,2,H11,A28,0.008963120087748393,-2.0475407848670377
97,2,H11,A29,0.016249507104512305,-1.7891598079181523
98,2,H11,A30,0.01210579779651016,-1.9170065843961457
99,2,H11,A31,0.014012823531404138,-1.8534743471868733
100,2,H11,A32,0.007632294945186004,-2.117344854945513
101,2,H11,A33,0.0063447796242544425,-2.1975834578296944
102,2,H11,A34,0.007255637323250994,-2.139324433837613
103,2,H11,A35,0.04213774275779724,-1.375328732469949
104,2,H11,A36,0.0168907127128914,-1.7723520247483822
105,2,H11,A37,0.022139971026219427,-1.6548229518024296
106,2,H11,A38,0.057563287533819674,-1.2398544107565341
107,2,H11,A39,0.009705933711724356,-2.012962679096422
108,2,H11,A40,0.004017327630659566,-2.396062748207268
109,2,H11,A41,0.006718339430168271,-2.1727380581119267
