Otu,Kingdom,Phylum,Class,Order,Family,Genus,Species,A1
Otu11,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides uniformis,0.020934636
Otu66,Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Coprobacillaceae,Thomasclavelia,na,0.010352148
Otu95,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,na,na,0.004175423
Otu46,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Sutterellaceae,Parasutterella,Parasutterella excrementihominis,0.018166335
Otu1860,Bacteria,Firmicutes,Clostridia,Clostridiales,Oscillospiraceae,Oscillibacter,Oscillibacter valericigenes,0.012570853
Otu65,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,na,0.026140297
Otu59,Bacteria,Firmicutes,Clostridia,Clostridiales,Oscillospiraceae,na,na,0.051921397
Otu26,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Faecalibacterium,Faecalibacterium prausnitzii,0.0074349865
Otu4,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcus,na,0.00863332
Otu121,Bacteria,Firmicutes,Clostridia,Clostridiales,na,na,na,0.0043674507
Otu13,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Blautia,na,0.0036480222
Otu21,Bacteria,Firmicutes,na,na,na,na,na,0.0071024066
Otu9,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,na,na,0.0036474064
Otu24,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Anaerostipes,Anaerostipes hadrus,0.011336308
Otu150,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Porphyromonas,na,0.010671662
Otu45,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Coprococcus,Coprococcus eutactus,0.045231286
Otu3,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides dorei,0.0108442325
Otu44,Bacteria,Firmicutes,Clostridia,Clostridiales,na,na,na,0.00851587
Otu90,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,na,na,0.009443055
Otu6,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,na,0.0050356044
Otu60,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcus,Ruminococcus callidus,0.0012338208
Otu18,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,na,0.0037275725
Otu37,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides cellulosilyticus,0.06606953
Otu23,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Blautia,Blautia faecis,0.0074300915
Otu91,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Pedobacter,na,0.086665705
Otu2,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Faecalibacterium,Faecalibacterium prausnitzii,0.0028715604
Otu30,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnospira,Lachnospira multipara,0.039255507
Otu27,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,na,0.0043165563
Otu1,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Roseburia,Agathobacter rectalis,0.0992833
Otu10,Bacteria,Firmicutes,Clostridia,Clostridiales,Oscillospiraceae,Ruminococcus,Ruminococcus bromii,0.011685875
Otu55,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,na,na,0.010372693
Otu82,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Oribacterium,na,0.028103216
Otu34,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Gemmiger,Gemmiger formicilis,0.017373912
Otu7,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,na,na,0.012686193
Otu32,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Parabacteroides,Parabacteroides distasonis,0.026071982
Otu28,Bacteria,Tenericutes,Mollicutes,Mycoplasmatales,Mycoplasmataceae,Mycoplasma,na,0.06711233
Otu48,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnospira,Lachnospira multipara,0.010048674
Otu15,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Acidaminococcaceae,Phascolarctobacterium,Phascolarctobacterium faecium,0.004842383
Otu29,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,na,na,0.0013349813
Otu25,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,na,0.0021900681
Otu92,Bacteria,Proteobacteria,Alphaproteobacteria,na,na,na,na,0.038196485
Otu58,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,na,na,0.0033962827
Otu98,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Butyrivibrio,Butyrivibrio fibrisolvens,0.0002897051
Otu97,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Coprococcus,Coprococcus comes,0.003835758
Otu49,Bacteria,Firmicutes,Clostridia,Clostridiales,na,na,na,0.025825795
Otu33,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,na,0.010958268
Otu22,Bacteria,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,Eubacterium,Eubacterium coprostanoligenes,0.0090935705
Otu17,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Ruminococcus,na,0.0042455266
Otu52,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Roseburia,na,0.0065624896
Otu224,Bacteria,na,na,na,na,na,na,0.008042266
Otu56,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,na,0.04320251
Otu16,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Eisenbergiella,Eisenbergiella tayi,0.008186112
Otu14,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Roseburia,Roseburia inulinivorans,0.021665301
Otu62,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Hespellia,na,0.01952229
Otu12,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Roseburia,na,0.0019033477
Otu42,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Coprococcus,Coprococcus comes,0.002489403
Otu47,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,na,na,0.0051105246
Otu40,Bacteria,Synergistetes,Synergistia,Synergistales,Synergistaceae,Cloacibacillus,Cloacibacillus evryensis,0.0046256864
