,P1,P2,P3
A1,2.97162,2.6400273,625.6527
A2,3.923855,3.964989,2159.7495
A3,2.9074416,3.0839095,3.2692297
A4,2.7461882,1.8266143,2.4317746
A5,6.023514,2.8983762,3.6376257
A6,2.5678914,80.72928,16.069147
A7,7.2494707,3.4903455,5.6143913
A8,29.091831,3.9972184,3.8045087
A9,7.280521,3.195815,13.864211
A10,5.7233233,3.1248243,4.4858856
A11,14.900347,4.616993,4.1456294
A12,3.6935349,3.2969015,8.94656
A13,9.295594,3.4936478,3.1476073
A14,4.103379,4.9073997,3.1925058
A15,17.30579,3.0378954,6.346675
A16,3.3393946,2.848785,4.3525867
A17,20.691004,3.0961466,4.3503456
A18,16.18068,3.0742562,3.0702498
A19,2.0380464,3.6315353,632.12463
A20,4.63235,3.86098,5.182074
A21,5.0665183,3.043277,3.616177
A22,3.700171,4.052224,5.1566777
A23,124.75144,3.5934548,1671.7783
A24,5.6136456,817.1669,2.4821336
A25,134.6467,3.7232523,2.59017
A26,42.477764,8.352117,103.00342
A27,16.312082,3.5863137,2.9234939
A28,7.5062413,3.322067,3.200349
A29,3.4318528,9.151984,484.01163
A30,3.9031608,3.228241,3.8005686
A31,46.239212,3133.5608,2.7485435
A32,39.243122,4.1291003,2.966255
A33,4.486136,3.2147505,6.6454663
A34,4.7382665,3.1596267,4.020684
A35,3.9401925,3.7814114,3.3439834
A36,3.6823685,5.555942,3.706897
A37,3.2029672,2.6329997,3.279671
A38,5.352688,2.9060364,3.6284769
A39,732.7905,3.6990252,8.543788
A40,3.580811,17.319828,2.931817
A41,3.6102438,3.1362543,5.4837794
A42,18.383694,3.5664108,3.8669314
A43,23.235313,4.077311,3.9227931
A44,4.614717,4.171426,3.2737322
A45,4.002908,2.1467245,4.2225385
A46,69.49012,4.5515213,9.981401
A47,2.4147313,2.7199569,4.1673336
A48,3.6038346,2.9898474,3.6568458
A49,4.308337,6.268082,4.077009
A50,18.950485,2.8042614,4.2284155
A51,431.7541,3.1451006,60.75575
A52,4.169447,730.2195,2847.3977
A53,45.72243,4.0463967,589.5009
A54,16.601545,5.9769154,6.381566
A55,19.091599,5.226505,4.784908
A56,3.5366862,5.102944,5.202814
A57,222.37437,1.9841794,11.2809515
A58,37.733315,2.8405716,3.0194762
A59,7.2054567,3.8225415,6.2382545
A60,28.022486,3.4121757,3.2129703
A61,3.5936553,3.9608004,7.8810396
A62,4.1698017,3.0207493,3.6794174
A63,2.398555,2.6107898,3.5359678
A64,4.495797,3.7136028,3.6587622
A65,3.6622157,12.98286,5.9354177
A66,3.6696644,4.600805,3.4546008
A67,2.9979107,2.832983,10.345298
A68,3.261649,4.121382,3.7460742
A69,2044.0804,3.6617427,7.245164
A70,6.020699,176.76114,2923.639
A71,3.1828065,5.9175444,4.049433
A72,3.2386222,3.3608818,3.5685298
A73,6.7388344,2.84393,5.1382914
A74,3.5012677,2.9050264,3.2395535
A75,2.7824864,2.6950374,12.365883
A76,2.9447887,2.9354854,2.6559494
