Otu,Domain,Phylum,Class,Order,Family,Genus
Otu1,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus
Otu7,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Clostridium_XlVa
Otu11,Bacteria,Actinobacteria,Coriobacteriia,Eggerthellales,Eggerthellaceae,Adlercreutzia
Otu8,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Muribaculaceae,Duncaniella
Otu2,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Akkermansiaceae,Akkermansia
Otu6,Bacteria,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,Eubacterium
Otu9,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,na
Otu10,Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Faecalibaculum
Otu4,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus
Otu3,Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Turicibacter
Otu5,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae_1,Bacillus
Otu13,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,na
Otu22,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,na,na
Otu15,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,na
Otu14,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Enterocloster
Otu17,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,na
Otu16,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,na
Otu18,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Eisenbergiella
Otu12,Bacteria,Actinobacteria,Coriobacteriia,Eggerthellales,Eggerthellaceae,Adlercreutzia
Otu19,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Faecalicatena
Otu20,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,na,na
Otu23,Bacteria,Firmicutes,Clostridia,Clostridiales,na,na
Otu21,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcus
Otu24,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Extibacter
Otu27,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,na
Otu32,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,na
Otu28,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,na
Otu26,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lacrimispora
Otu30,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,na
Otu25,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,na,na
Otu29,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Romboutsia
Otu31,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Faecalicatena
Otu33,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Porphyromonas
Otu36,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,na
Otu35,Bacteria,Firmicutes,na,na,na,na
Otu38,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Cellulosilyticum
Otu40,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,na
Otu39,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Anaerostipes
Otu34,Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Clostridium_XVIII
Otu37,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Shuttleworthia
Otu44,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Acetatifactor
Otu41,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Hespellia
Otu42,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Colidextribacter
Otu43,Bacteria,Firmicutes,Clostridia,Clostridiales,na,na
